                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 2.0741,                0.98521,                0.80689,                0.75898,                0.46535,                0.60258,                0.26601,                 1.8457,                0.95999,                0.78049,              0.0004358,              0.0004358,              0.0004358
                     81,                 2.0722,                 1.0062,                0.82036,                0.69707,                0.59237,                0.66696,                0.28807,                 1.9689,                0.91178,                0.78156,               0.000416,               0.000416,               0.000416
                     82,                 2.0724,                0.94339,                0.82421,                0.75039,                0.48515,                0.60684,                0.22384,                 2.1143,                 1.0624,                0.78307,              0.0003962,              0.0003962,              0.0003962
                     83,                 2.0305,                0.96336,                0.81342,                0.73266,                0.51485,                0.67124,                0.28806,                  1.914,                0.89896,                0.77796,              0.0003764,              0.0003764,              0.0003764
                     84,                 2.0136,                0.92502,                0.79577,                0.70008,                0.50847,                0.63783,                0.27513,                 1.9393,                0.89146,                0.77704,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.9846,                0.88422,                0.82643,                0.80629,                0.48515,                0.63432,                 0.2841,                 1.8341,                0.84897,                 0.7784,              0.0003368,              0.0003368,              0.0003368
                     86,                  2.049,                0.94451,                0.80771,                0.79541,                0.49505,                0.64582,                0.27107,                 1.8508,                0.91033,                 0.7725,               0.000317,               0.000317,               0.000317
                     87,                 2.0213,                0.96517,                0.82387,                 0.8203,                0.49505,                0.64425,                0.27665,                 1.8623,                0.86679,                0.77319,              0.0002972,              0.0002972,              0.0002972
                     88,                 2.0463,                0.92097,                0.80608,                0.80082,                0.50495,                0.61917,                0.27489,                 1.8305,                0.85424,                0.77366,              0.0002774,              0.0002774,              0.0002774
                     89,                 2.0789,                 1.0329,                0.80803,                0.80649,                0.46535,                0.57993,                0.25077,                  1.864,                0.88405,                0.77593,              0.0002576,              0.0002576,              0.0002576
                     90,                 2.0035,                0.93346,                0.81316,                0.79075,                0.42574,                0.56363,                0.25248,                 1.8779,                0.86488,                0.77824,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.9365,                0.91593,                0.81193,                0.70062,                0.48661,                0.59047,                0.25314,                 1.9078,                0.89767,                 0.7775,               0.000218,               0.000218,               0.000218
                     92,                  2.073,                0.98688,                0.81993,                0.66993,                0.46535,                0.55771,                0.24217,                 1.9309,                0.92112,                0.78167,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.8886,                0.88919,                0.80583,                0.86957,                0.43564,                0.58003,                0.24741,                 1.9526,                0.90686,                0.78174,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.9531,                0.85953,                0.82586,                0.85987,                 0.4253,                0.58057,                0.24348,                 1.9905,                0.92375,                0.78207,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.8386,                 0.8457,                 0.8255,                0.84047,                0.41733,                0.58577,                0.24857,                 2.0115,                0.92218,                0.78214,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.8702,                0.85448,                0.82027,                0.86944,                0.46159,                0.62211,                0.27341,                 1.9122,                0.88372,                0.78277,               0.000119,               0.000119,               0.000119
                     97,                 1.8549,                0.80343,                0.81598,                0.86495,                0.44391,                0.61353,                0.27129,                 1.8798,                0.89759,                 0.7829,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.7546,                0.81049,                0.80526,                0.83216,                0.46535,                0.62866,                0.27763,                 1.8508,                0.88097,                0.78079,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.8435,                0.86795,                0.84436,                0.81593,                0.46535,                0.63343,                 0.2746,                 1.8602,                0.87825,                0.78094,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.8026,                0.77725,                0.81534,                0.80916,                0.46183,                0.62716,                0.27178,                 1.8588,                0.87737,                0.78209,               3.98e-05,               3.98e-05,               3.98e-05
